Timestamp,Container,CPU_Perc,Host_CPU_Perc,Mem_Usage,Mem_Limit,Mem_Perc,Host_Mem_Usage,Host_Mem_Total,Host_Mem_Perc,Net_Input,Net_Output,Block_Input,Block_Output,GPU_Count,GPU_Util_Max,GPU_Mem_Used,GPU_Mem_Total,GPU_Mem_Perc
2026-05-20 19:07:24.375,vllm-server,73.28%,3.24%,1.079GiB,1007GiB,0.11%,13.93GiB,1007GiB,1.38%,25.27kB,7.087kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:24.553,vllm-server,110.40%,2.74%,1.091GiB,1007GiB,0.11%,13.92GiB,1007GiB,1.38%,25.27kB,7.087kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:24.744,vllm-server,100.18%,2.86%,1.097GiB,1007GiB,0.11%,13.94GiB,1007GiB,1.38%,25.27kB,7.087kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:24.933,vllm-server,99.77%,2.74%,1.105GiB,1007GiB,0.11%,13.96GiB,1007GiB,1.39%,25.27kB,7.087kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:25.121,vllm-server,99.71%,3.51%,1.109GiB,1007GiB,0.11%,13.98GiB,1007GiB,1.39%,25.27kB,7.087kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:25.314,vllm-server,99.13%,3.40%,1.114GiB,1007GiB,0.11%,13.98GiB,1007GiB,1.39%,25.34kB,7.14kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:25.505,vllm-server,102.62%,3.11%,1.136GiB,1007GiB,0.11%,14GiB,1007GiB,1.39%,25.34kB,7.14kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:25.702,vllm-server,99.69%,2.79%,1.139GiB,1007GiB,0.11%,14.01GiB,1007GiB,1.39%,25.34kB,7.14kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:25.898,vllm-server,100.14%,2.72%,1.143GiB,1007GiB,0.11%,14.02GiB,1007GiB,1.39%,25.34kB,7.14kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:26.089,vllm-server,98.08%,3.57%,1.143GiB,1007GiB,0.11%,14.02GiB,1007GiB,1.39%,25.34kB,7.14kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:26.281,vllm-server,99.77%,2.53%,1.149GiB,1007GiB,0.11%,14.03GiB,1007GiB,1.39%,25.34kB,7.14kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:26.471,vllm-server,109.95%,3.08%,1.15GiB,1007GiB,0.11%,14.04GiB,1007GiB,1.39%,25.42kB,7.192kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:26.681,vllm-server,93.05%,2.82%,1.153GiB,1007GiB,0.11%,14.04GiB,1007GiB,1.39%,25.42kB,7.192kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:26.876,vllm-server,88.15%,2.66%,1.156GiB,1007GiB,0.11%,14.04GiB,1007GiB,1.39%,25.42kB,7.192kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:27.050,vllm-server,100.86%,2.87%,1.163GiB,1007GiB,0.12%,14.04GiB,1007GiB,1.39%,25.42kB,7.192kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:27.220,vllm-server,101.12%,2.78%,1.168GiB,1007GiB,0.12%,14.04GiB,1007GiB,1.39%,25.42kB,7.192kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:27.393,vllm-server,99.18%,3.06%,1.169GiB,1007GiB,0.12%,14.05GiB,1007GiB,1.39%,25.49kB,7.245kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:27.569,vllm-server,109.44%,3.31%,1.169GiB,1007GiB,0.12%,14.03GiB,1007GiB,1.39%,25.49kB,7.245kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:27.757,vllm-server,123.32%,2.91%,1.169GiB,1007GiB,0.12%,14.04GiB,1007GiB,1.39%,25.49kB,7.245kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:27.989,vllm-server,80.83%,3.57%,1.169GiB,1007GiB,0.12%,14.05GiB,1007GiB,1.39%,25.49kB,7.245kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:28.182,vllm-server,105.90%,2.77%,929.8MiB,1007GiB,0.09%,14.05GiB,1007GiB,1.39%,25.49kB,7.245kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:28.361,vllm-server,112.04%,3.90%,662.7MiB,1007GiB,0.06%,13.53GiB,1007GiB,1.34%,25.49kB,7.245kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:28.558,vllm-server,99.32%,3.03%,681MiB,1007GiB,0.07%,13.54GiB,1007GiB,1.34%,25.56kB,7.298kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:28.757,vllm-server,90.39%,2.76%,688.5MiB,1007GiB,0.07%,13.56GiB,1007GiB,1.35%,25.56kB,7.298kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:28.929,vllm-server,111.53%,2.82%,697.4MiB,1007GiB,0.07%,13.57GiB,1007GiB,1.35%,25.56kB,7.298kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:29.125,vllm-server,98.22%,3.19%,702.1MiB,1007GiB,0.07%,13.59GiB,1007GiB,1.35%,25.56kB,7.298kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:29.314,vllm-server,75.47%,2.81%,709.9MiB,1007GiB,0.07%,13.61GiB,1007GiB,1.35%,30.51kB,8.84kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:29.513,vllm-server,2.60%,1.72%,709.8MiB,1007GiB,0.07%,13.61GiB,1007GiB,1.35%,38.17kB,10.7kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:29.755,vllm-server,6.97%,1.62%,710.4MiB,1007GiB,0.07%,13.6GiB,1007GiB,1.35%,116.1kB,22.66kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:29.960,vllm-server,101.49%,2.07%,720.1MiB,1007GiB,0.07%,13.59GiB,1007GiB,1.35%,376.3kB,23.89kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:30.179,vllm-server,91.17%,3.41%,728.1MiB,1007GiB,0.07%,13.6GiB,1007GiB,1.35%,376.3kB,23.89kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:30.377,vllm-server,32.64%,2.21%,728.9MiB,1007GiB,0.07%,13.61GiB,1007GiB,1.35%,382kB,26.43kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:30.603,vllm-server,3.18%,2.43%,728.7MiB,1007GiB,0.07%,13.63GiB,1007GiB,1.35%,388.2kB,28.46kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:30.801,vllm-server,22.55%,1.58%,769.3MiB,1007GiB,0.07%,13.61GiB,1007GiB,1.35%,392.9kB,28.91kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:30.976,vllm-server,109.51%,2.69%,921.9MiB,1007GiB,0.09%,13.78GiB,1007GiB,1.37%,392.9kB,28.91kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:31.175,vllm-server,103.10%,2.69%,960.7MiB,1007GiB,0.09%,13.86GiB,1007GiB,1.38%,392.9kB,28.91kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:31.374,vllm-server,88.34%,2.98%,977.4MiB,1007GiB,0.09%,13.86GiB,1007GiB,1.38%,392.9kB,28.91kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:31.552,vllm-server,114.52%,2.80%,950.7MiB,1007GiB,0.09%,13.85GiB,1007GiB,1.37%,393kB,28.96kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:31.750,vllm-server,96.96%,3.94%,1.033GiB,1007GiB,0.10%,13.86GiB,1007GiB,1.38%,393kB,28.96kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:31.948,vllm-server,98.96%,2.68%,1.036GiB,1007GiB,0.10%,13.95GiB,1007GiB,1.38%,393kB,28.96kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:32.142,vllm-server,89.71%,3.29%,1.036GiB,1007GiB,0.10%,13.95GiB,1007GiB,1.38%,393kB,29.31kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:32.340,vllm-server,62.98%,2.14%,1.055GiB,1007GiB,0.10%,13.96GiB,1007GiB,1.39%,403.6kB,29.44kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:32.517,vllm-server,84.17%,2.20%,1.098GiB,1007GiB,0.11%,13.97GiB,1007GiB,1.39%,406.5kB,30.57kB,0B,0B,1,0.00%,0B,80GiB,0.00%
